"province","health_sector","total_number_vaccines_administered"
"gauteng","","3"
"north west","Private Health","537433"
"kwazulu-natal","Private Health","1237249"
"western cape","Private Health","1922980"
"limpopo","Private Health","609781"
"northern cape","Public Health","610203"
"gauteng","Private Health","4577776"
"kwazulu-natal","Public Health","4671721"
"free state","Public Health","1868410"
"north west","Public Health","1788597"
"gauteng","Public Health","5846892"
"mpumalanga","Private Health","406617"
"mpumalanga","Public Health","1936006"
"northern cape","Private Health","158169"
"eastern cape","Private Health","694476"
"western cape","Public Health","3687203"
"limpopo","Public Health","3152035"
"free state","Private Health","400960"
"eastern cape","Public Health","3559952"
