"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","102753"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","119705"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72037"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107463"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51368"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","165520"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","211723"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","90733"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81222"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","75939"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153482"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144724"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33340"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","324674"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","557286"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102533"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","467902"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","107662"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","79996"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","343566"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58696"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","63565"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102763"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67716"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","141233"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102542"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97518"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Uthukela DM","Adults","96773"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Zululand DM","Adults","98853"
"Janssen Vaccines & Prevention B.V","limpopo","Capricorn DM","Adults","274134"
"Janssen Vaccines & Prevention B.V","limpopo","Mopani DM","Adults","244866"
"Janssen Vaccines & Prevention B.V","limpopo","Sekhukhune DM","Adults","186305"
"Janssen Vaccines & Prevention B.V","limpopo","Vhembe DM","Adults","243814"
"Janssen Vaccines & Prevention B.V","limpopo","Waterberg DM","Adults","136245"
"Janssen Vaccines & Prevention B.V","mpumalanga","Ehlanzeni DM","Adults","414502"
"Janssen Vaccines & Prevention B.V","mpumalanga","G Sibande DM","Adults","188937"
"Janssen Vaccines & Prevention B.V","mpumalanga","Nkangala DM","Adults","232056"
"Janssen Vaccines & Prevention B.V","northern cape","Frances Baard DM","Adults","71821"
"Janssen Vaccines & Prevention B.V","northern cape","J T Gaetsewe DM","Adults","41612"
"Janssen Vaccines & Prevention B.V","northern cape","Namakwa DM","Adults","16363"
"Janssen Vaccines & Prevention B.V","northern cape","Pixley ka Seme DM","Adults","28245"
"Janssen Vaccines & Prevention B.V","northern cape","ZF Mgcawu DM","Adults","58913"
"Janssen Vaccines & Prevention B.V","north west","Bojanala Platinum DM","Adults","295571"
"Janssen Vaccines & Prevention B.V","north west","Dr K Kaunda DM","Adults","109264"
"Janssen Vaccines & Prevention B.V","north west","Ngaka Modiri Molema DM","Adults","200984"
"Janssen Vaccines & Prevention B.V","north west","Ruth Segomotsi Mompati DM","Adults","110543"
"Janssen Vaccines & Prevention B.V","western cape","Cape Town MM","Adults","432778"
"Janssen Vaccines & Prevention B.V","western cape","Cape Winelands DM","Adults","121552"
"Janssen Vaccines & Prevention B.V","western cape","Central Karoo DM","Adults","6833"
"Janssen Vaccines & Prevention B.V","western cape","Garden Route DM","Adults","77988"
"Janssen Vaccines & Prevention B.V","western cape","Overberg DM","Adults","47478"
"Janssen Vaccines & Prevention B.V","western cape","West Coast DM","Adults","68600"
"Pfizer","eastern cape","Amathole DM","12-17 Years","8353"
"Pfizer","eastern cape","Amathole DM","Adults","148374"
"Pfizer","eastern cape","A Nzo DM","12-17 Years","24738"
"Pfizer","eastern cape","A Nzo DM","Adults","102205"
"Pfizer","eastern cape","Buffalo City MM","12-17 Years","17236"
"Pfizer","eastern cape","Buffalo City MM","Adults","211305"
"Pfizer","eastern cape","C Hani DM","12-17 Years","6439"
"Pfizer","eastern cape","C Hani DM","Adults","118742"
"Pfizer","eastern cape","Joe Gqabi DM","12-17 Years","5432"
"Pfizer","eastern cape","Joe Gqabi DM","Adults","55959"
"Pfizer","eastern cape","N Mandela Bay MM","12-17 Years","14759"
"Pfizer","eastern cape","N Mandela Bay MM","Adults","275789"
"Pfizer","eastern cape","O Tambo DM","12-17 Years","29379"
"Pfizer","eastern cape","O Tambo DM","Adults","136150"
"Pfizer","eastern cape","Sarah Baartman DM","12-17 Years","11206"
"Pfizer","eastern cape","Sarah Baartman DM","Adults","93263"
"Pfizer","free state","Fezile Dabi DM","12-17 Years","9156"
"Pfizer","free state","Fezile Dabi DM","Adults","93715"
"Pfizer","free state","Lejweleputswa DM","12-17 Years","11574"
"Pfizer","free state","Lejweleputswa DM","Adults","153640"
"Pfizer","free state","Mangaung MM","12-17 Years","28114"
