"province","health_sector","total_number_vaccines_administered"
"gauteng","","2"
"north west","Private Health","537335"
"kwazulu-natal","Private Health","1237110"
"western cape","Private Health","1922783"
"limpopo","Private Health","609593"
"northern cape","Public Health","609874"
"gauteng","Private Health","4576605"
"kwazulu-natal","Public Health","4669496"
"free state","Public Health","1867467"
"north west","Public Health","1787895"
"gauteng","Public Health","5843930"
"mpumalanga","Private Health","406594"
"mpumalanga","Public Health","1934343"
"northern cape","Private Health","158132"
"eastern cape","Private Health","694390"
"western cape","Public Health","3686080"
"limpopo","Public Health","3149361"
"free state","Private Health","400878"
"eastern cape","Public Health","3556644"
