"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","3","0","1","4"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","5","0","2","7"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","4","0","2","6"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1","0","0","1"
"Janssen Vaccines & Prevention B.V","north west","Adults","10","0","51","61"
"Janssen Vaccines & Prevention B.V","western cape","Adults","2","0","0","2"
"Pfizer","eastern cape","Adults","0","0","3","3"
"Pfizer","free state","Adults","0","1","0","1"
"Pfizer","gauteng","Adults","1","4","6","11"
"Pfizer","kwazulu-natal","12-17 Years","1","0","0","1"
"Pfizer","kwazulu-natal","Adults","0","3","4","7"
"Pfizer","limpopo","Adults","4","0","1","5"
"Pfizer","north west","12-17 Years","6","2","0","8"
"Pfizer","north west","Adults","17","30","24","71"
