"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","532072"
"kwazulu-natal","Private Health","1223634"
"western cape","Private Health","1900879"
"limpopo","Private Health","596530"
"northern cape","Public Health","588948"
"gauteng","Private Health","4515356"
"kwazulu-natal","Public Health","4549067"
"free state","Public Health","1825296"
"north west","Public Health","1763885"
"gauteng","Public Health","5756428"
"mpumalanga","Private Health","399018"
"mpumalanga","Public Health","1864872"
"northern cape","Private Health","155998"
"eastern cape","Private Health","684919"
"western cape","Public Health","3638840"
"limpopo","Public Health","3084298"
"free state","Private Health","395117"
"eastern cape","Public Health","3436025"
