"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10534","5125","15659"
"National","eastern cape","Private Health","Male","8885","3962","12847"
"National","eastern cape","Public Health","Female","144155","50737","194892"
"National","eastern cape","Public Health","Male","118214","35468","153682"
"National","free state","Private Health","Female","9192","4582","13774"
"National","free state","Private Health","Male","7530","3488","11018"
"National","free state","Public Health","Female","83936","39810","123746"
"National","free state","Public Health","Male","71724","29764","101488"
"National","gauteng","Private Health","Female","53857","30182","84039"
"National","gauteng","Private Health","Male","49460","25825","75285"
"National","gauteng","Public Health","Female","163669","65560","229229"
"National","gauteng","Public Health","Male","129307","48020","177327"
"National","kwazulu-natal","Private Health","Female","17264","9697","26961"
"National","kwazulu-natal","Private Health","Male","15598","8242","23840"
"National","kwazulu-natal","Public Health","Female","156181","63775","219956"
"National","kwazulu-natal","Public Health","Male","106334","38853","145187"
"National","limpopo","Private Health","Female","11837","5150","16987"
"National","limpopo","Private Health","Male","9223","3593","12816"
"National","limpopo","Public Health","Female","141196","47387","188583"
"National","limpopo","Public Health","Male","122650","35463","158113"
"National","mpumalanga","Private Health","Female","4038","1724","5762"
"National","mpumalanga","Private Health","Male","3523","1506","5029"
"National","mpumalanga","Public Health","Female","75507","25367","100874"
"National","mpumalanga","Public Health","Male","62746","17705","80451"
"National","northern cape","Private Health","Female","2142","1067","3209"
"National","northern cape","Private Health","Male","1971","809","2780"
"National","northern cape","Public Health","Female","17058","5621","22679"
"National","northern cape","Public Health","Male","13355","4130","17485"
"National","north west","Private Health","Female","5269","2445","7714"
"National","north west","Private Health","Male","4760","2044","6804"
"National","north west","Public Health","Female","79129","27882","107011"
"National","north west","Public Health","Male","65516","20133","85649"
"National","western cape","Private Health","Female","23669","12658","36327"
"National","western cape","Private Health","Male","21307","10944","32251"
"National","western cape","Public Health","Female","47206","15836","63042"
"National","western cape","Public Health","Male","39377","12958","52335"
