"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","284"
"eastern cape","Public Health","3728"
"free state","Private Health","224"
"free state","Public Health","1133"
"gauteng","Private Health","1951"
"gauteng","Public Health","2918"
"kwazulu-natal","Private Health","465"
"kwazulu-natal","Public Health","3737"
"limpopo","Private Health","244"
"limpopo","Public Health","2718"
"mpumalanga","Private Health","359"
"mpumalanga","Public Health","2615"
"northern cape","Private Health","118"
"northern cape","Public Health","814"
"north west","Private Health","228"
"north west","Public Health","807"
"western cape","Private Health","716"
"western cape","Public Health","1410"
