"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","162"
"eastern cape","Public Health","1987"
"free state","Private Health","82"
"free state","Public Health","962"
"gauteng","Private Health","1288"
"gauteng","Public Health","1927"
"kwazulu-natal","Private Health","400"
"kwazulu-natal","Public Health","2144"
"limpopo","Private Health","253"
"limpopo","Public Health","1138"
"mpumalanga","Private Health","228"
"mpumalanga","Public Health","1690"
"northern cape","Private Health","39"
"northern cape","Public Health","741"
"north west","Private Health","113"
"north west","Public Health","708"
"western cape","Private Health","564"
"western cape","Public Health","785"
