"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","162"
"Janssen Vaccines & Prevention B.V","free state","Adults","108"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","529"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","331"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","133"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","416"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","91"
"Janssen Vaccines & Prevention B.V","north west","Adults","133"
"Janssen Vaccines & Prevention B.V","western cape","Adults","134"
"Pfizer","eastern cape","12-17 Years","76"
"Pfizer","eastern cape","Adults","396"
"Pfizer","free state","12-17 Years","54"
"Pfizer","free state","Adults","169"
"Pfizer","gauteng","12-17 Years","179"
"Pfizer","gauteng","Adults","703"
"Pfizer","kwazulu-natal","12-17 Years","99"
"Pfizer","kwazulu-natal","Adults","571"
"Pfizer","limpopo","12-17 Years","106"
"Pfizer","limpopo","Adults","231"
"Pfizer","mpumalanga","12-17 Years","51"
"Pfizer","mpumalanga","Adults","267"
"Pfizer","northern cape","12-17 Years","34"
"Pfizer","northern cape","Adults","115"
"Pfizer","north west","12-17 Years","32"
"Pfizer","north west","Adults","138"
"Pfizer","western cape","12-17 Years","47"
"Pfizer","western cape","Adults","253"
