"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","3"
"eastern cape","Public Health","1782"
"free state","Private Health","37"
"free state","Public Health","341"
"gauteng","Private Health","202"
"gauteng","Public Health","1566"
"kwazulu-natal","Private Health","23"
"kwazulu-natal","Public Health","687"
"limpopo","Private Health","2"
"limpopo","Public Health","864"
"mpumalanga","Private Health","11"
"mpumalanga","Public Health","433"
"northern cape","Private Health","2"
"northern cape","Public Health","290"
"north west","Private Health","21"
"north west","Public Health","470"
"western cape","Private Health","41"
"western cape","Public Health","635"
