"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10700","4646","15346"
"National","eastern cape","Private Health","Male","8874","3520","12394"
"National","eastern cape","Public Health","Female","114009","22875","136884"
"National","eastern cape","Public Health","Male","91513","15058","106571"
"National","free state","Private Health","Female","8788","3710","12498"
"National","free state","Private Health","Male","7162","2847","10009"
"National","free state","Public Health","Female","75201","27840","103041"
"National","free state","Public Health","Male","63592","20031","83623"
"National","gauteng","Private Health","Female","54049","27303","81352"
"National","gauteng","Private Health","Male","48932","22918","71850"
"National","gauteng","Public Health","Female","143723","43638","187361"
"National","gauteng","Public Health","Male","113245","32238","145483"
"National","kwazulu-natal","Private Health","Female","17515","9064","26579"
"National","kwazulu-natal","Private Health","Male","15723","7652","23375"
"National","kwazulu-natal","Public Health","Female","115875","28280","144155"
"National","kwazulu-natal","Public Health","Male","78515","17652","96167"
"National","limpopo","Private Health","Female","10298","4245","14543"
"National","limpopo","Private Health","Male","8186","3053","11239"
"National","limpopo","Public Health","Female","110689","28660","139349"
"National","limpopo","Public Health","Male","92937","21728","114665"
"National","mpumalanga","Private Health","Female","4041","1532","5573"
"National","mpumalanga","Private Health","Male","3508","1313","4821"
"National","mpumalanga","Public Health","Female","60527","14271","74798"
"National","mpumalanga","Public Health","Male","50607","10397","61004"
"National","northern cape","Private Health","Female","2130","951","3081"
"National","northern cape","Private Health","Male","1912","695","2607"
"National","northern cape","Public Health","Female","10984","3213","14197"
"National","northern cape","Public Health","Male","8820","2432","11252"
"National","north west","Private Health","Female","5216","2193","7409"
"National","north west","Private Health","Male","4693","1850","6543"
"National","north west","Public Health","Female","70750","18261","89011"
"National","north west","Public Health","Male","58763","13109","71872"
"National","western cape","Private Health","Female","23597","11322","34919"
"National","western cape","Private Health","Male","20979","9541","30520"
"National","western cape","Public Health","Female","46597","14473","61070"
"National","western cape","Public Health","Male","38490","11773","50263"
