"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","503537"
"kwazulu-natal","Private Health","1170658"
"western cape","Private Health","1811334"
"limpopo","Private Health","560727"
"northern cape","Public Health","535392"
"gauteng","Private Health","4295733"
"kwazulu-natal","Public Health","4133172"
"free state","Public Health","1682520"
"north west","Public Health","1637282"
"gauteng","Public Health","5406335"
"mpumalanga","Private Health","379019"
"mpumalanga","Public Health","1678447"
"northern cape","Private Health","147802"
"eastern cape","Private Health","652431"
"western cape","Public Health","3504478"
"limpopo","Public Health","2819524"
"free state","Private Health","369778"
"eastern cape","Public Health","3125298"
