"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","884390"
"eastern cape","Pfizer","1296270"
"free state","Johnson & Johnson","471203"
"free state","Pfizer","650155"
"gauteng","Johnson & Johnson","1467087"
"gauteng","Pfizer","3797518"
"kwazulu-natal","Johnson & Johnson","1182845"
"kwazulu-natal","Pfizer","1894519"
"limpopo","Johnson & Johnson","1044822"
"limpopo","Pfizer","1008285"
"mpumalanga","Johnson & Johnson","777353"
"mpumalanga","Pfizer","546365"
"northern cape","Johnson & Johnson","207871"
"northern cape","Pfizer","216512"
"north west","Johnson & Johnson","691503"
"north west","Pfizer","601567"
"western cape","Johnson & Johnson","727495"
"western cape","Pfizer","2080686"
