"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","884390"
"Janssen Vaccines & Prevention B.V","free state","Adults","471203"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1467087"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1182846"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1044822"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","777353"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207871"
"Janssen Vaccines & Prevention B.V","north west","Adults","691503"
"Janssen Vaccines & Prevention B.V","western cape","Adults","727495"
"Pfizer","eastern cape","12-17 Years","46099"
"Pfizer","eastern cape","Adults","1076183"
"Pfizer","free state","12-17 Years","54428"
"Pfizer","free state","Adults","564763"
"Pfizer","gauteng","12-17 Years","126097"
"Pfizer","gauteng","Adults","3256473"
"Pfizer","kwazulu-natal","12-17 Years","62648"
"Pfizer","kwazulu-natal","Adults","1556322"
"Pfizer","limpopo","12-17 Years","57686"
"Pfizer","limpopo","Adults","840445"
"Pfizer","mpumalanga","12-17 Years","27513"
"Pfizer","mpumalanga","Adults","445772"
"Pfizer","northern cape","12-17 Years","7291"
"Pfizer","northern cape","Adults","184384"
"Pfizer","north west","12-17 Years","35413"
"Pfizer","north west","Adults","515509"
"Pfizer","western cape","12-17 Years","47109"
"Pfizer","western cape","Adults","1816316"
