"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","13"
"eastern cape","Public Health","65"
"free state","Private Health","8"
"free state","Public Health","13"
"gauteng","Private Health","250"
"gauteng","Public Health","105"
"kwazulu-natal","Private Health","59"
"kwazulu-natal","Public Health","182"
"limpopo","Private Health","33"
"limpopo","Public Health","26"
"mpumalanga","Private Health","16"
"mpumalanga","Public Health","20"
"northern cape","Private Health","3"
"north west","Private Health","38"
"north west","Public Health","120"
"western cape","Private Health","100"
"western cape","Public Health","10"
