"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","23"
"eastern cape","Public Health","1215"
"free state","Private Health","3"
"free state","Public Health","244"
"free state","","6"
"gauteng","Private Health","221"
"gauteng","Public Health","1197"
"kwazulu-natal","Private Health","6"
"kwazulu-natal","Public Health","538"
"limpopo","Private Health","2"
"limpopo","Public Health","693"
"mpumalanga","Private Health","2"
"mpumalanga","Public Health","383"
"northern cape","Public Health","150"
"north west","Private Health","39"
"north west","Public Health","296"
"western cape","Private Health","26"
"western cape","Public Health","521"
