"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","112","0","155","267"
"Janssen Vaccines & Prevention B.V","free state","Adults","21","0","71","92"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","295","0","203","498"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","96","0","101","197"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","117","0","171","288"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","111","0","130","241"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","20","0","29","49"
"Janssen Vaccines & Prevention B.V","north west","Adults","61","0","100","161"
"Janssen Vaccines & Prevention B.V","western cape","Adults","95","0","56","151"
"Pfizer","eastern cape","12-17 Years","37","61","0","98"
"Pfizer","eastern cape","Adults","290","163","420","873"
"Pfizer","free state","12-17 Years","1","6","0","7"
"Pfizer","free state","Adults","35","40","79","154"
"Pfizer","gauteng","12-17 Years","55","60","0","115"
"Pfizer","gauteng","Adults","257","192","356","805"
"Pfizer","kwazulu-natal","12-17 Years","25","10","0","35"
"Pfizer","kwazulu-natal","Adults","145","65","102","312"
"Pfizer","limpopo","12-17 Years","27","30","0","57"
"Pfizer","limpopo","Adults","144","72","134","350"
"Pfizer","mpumalanga","12-17 Years","18","7","0","25"
"Pfizer","mpumalanga","Adults","14","44","61","119"
"Pfizer","northern cape","12-17 Years","29","7","0","36"
"Pfizer","northern cape","Adults","29","11","25","65"
"Pfizer","north west","12-17 Years","10","21","0","31"
"Pfizer","north west","Adults","41","33","69","143"
"Pfizer","western cape","12-17 Years","16","10","0","26"
"Pfizer","western cape","Adults","106","71","193","370"
