"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","17"
"eastern cape","Public Health","42"
"free state","Private Health","1"
"free state","Public Health","12"
"gauteng","Private Health","514"
"gauteng","Public Health","65"
"kwazulu-natal","Private Health","43"
"kwazulu-natal","Public Health","73"
"limpopo","Private Health","15"
"limpopo","Public Health","15"
"mpumalanga","Private Health","14"
"mpumalanga","Public Health","26"
"northern cape","Private Health","6"
"north west","Public Health","82"
"western cape","Private Health","36"
"western cape","Public Health","95"
