"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","1"
"Janssen Vaccines & Prevention B.V","free state","Adults","1"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","61"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","24"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","12"
"Janssen Vaccines & Prevention B.V","north west","Adults","14"
"Janssen Vaccines & Prevention B.V","western cape","Adults","12"
"Pfizer","eastern cape","12-17 Years","2"
"Pfizer","eastern cape","Adults","10"
"Pfizer","free state","Adults","6"
"Pfizer","gauteng","12-17 Years","28"
"Pfizer","gauteng","Adults","178"
"Pfizer","kwazulu-natal","12-17 Years","12"
"Pfizer","kwazulu-natal","Adults","29"
"Pfizer","limpopo","12-17 Years","4"
"Pfizer","limpopo","Adults","8"
"Pfizer","mpumalanga","12-17 Years","2"
"Pfizer","mpumalanga","Adults","6"
"Pfizer","northern cape","12-17 Years","1"
"Pfizer","northern cape","Adults","2"
"Pfizer","north west","12-17 Years","2"
"Pfizer","north west","Adults","12"
"Pfizer","western cape","12-17 Years","7"
"Pfizer","western cape","Adults","17"
