"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","106"
"Janssen Vaccines & Prevention B.V","free state","Adults","25"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","287"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","158"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","161"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","151"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","34"
"Janssen Vaccines & Prevention B.V","north west","Adults","64"
"Janssen Vaccines & Prevention B.V","western cape","Adults","91"
"Pfizer","eastern cape","12-17 Years","172"
"Pfizer","eastern cape","Adults","213"
"Pfizer","free state","12-17 Years","80"
"Pfizer","free state","Adults","56"
"Pfizer","gauteng","12-17 Years","46"
"Pfizer","gauteng","Adults","314"
"Pfizer","kwazulu-natal","12-17 Years","90"
"Pfizer","kwazulu-natal","Adults","155"
"Pfizer","limpopo","12-17 Years","127"
"Pfizer","limpopo","Adults","98"
"Pfizer","mpumalanga","12-17 Years","92"
"Pfizer","mpumalanga","Adults","43"
"Pfizer","northern cape","12-17 Years","53"
"Pfizer","northern cape","Adults","20"
"Pfizer","north west","12-17 Years","2"
"Pfizer","north west","Adults","53"
"Pfizer","western cape","12-17 Years","36"
"Pfizer","western cape","Adults","100"
