"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","35"
"eastern cape","Public Health","1373"
"free state","Private Health","147"
"free state","Public Health","417"
"gauteng","Private Health","366"
"gauteng","Public Health","1004"
"gauteng","","1"
"kwazulu-natal","Private Health","18"
"kwazulu-natal","Public Health","820"
"limpopo","Private Health","60"
"limpopo","Public Health","888"
"mpumalanga","Private Health","4"
"mpumalanga","Public Health","512"
"northern cape","Private Health","17"
"northern cape","Public Health","166"
"north west","Private Health","37"
"north west","Public Health","284"
"western cape","Private Health","45"
"western cape","Public Health","459"
