"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536318"
"kwazulu-natal","Private Health","1235124"
"western cape","Private Health","1919682"
"limpopo","Private Health","607376"
"northern cape","Public Health","606498"
"gauteng","Private Health","4565403"
"kwazulu-natal","Public Health","4647939"
"free state","Public Health","1858430"
"north west","Public Health","1782035"
"gauteng","Public Health","5820757"
"mpumalanga","Private Health","405916"
"mpumalanga","Public Health","1920221"
"northern cape","Private Health","157817"
"eastern cape","Private Health","693553"
"western cape","Public Health","3673741"
"limpopo","Public Health","3133345"
"free state","Private Health","399726"
"eastern cape","Public Health","3523466"
