"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","916491"
"Janssen Vaccines & Prevention B.V","free state","Adults","486827"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1542857"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1242004"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1078456"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","827377"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","215747"
"Janssen Vaccines & Prevention B.V","north west","Adults","713129"
"Janssen Vaccines & Prevention B.V","western cape","Adults","749995"
"Pfizer","eastern cape","12-17 Years","99348"
"Pfizer","eastern cape","Adults","1125441"
"Pfizer","free state","12-17 Years","78948"
"Pfizer","free state","Adults","591879"
"Pfizer","gauteng","12-17 Years","170354"
"Pfizer","gauteng","Adults","3385208"
"Pfizer","kwazulu-natal","12-17 Years","125332"
"Pfizer","kwazulu-natal","Adults","1647173"
"Pfizer","limpopo","12-17 Years","93459"
"Pfizer","limpopo","Adults","876647"
"Pfizer","mpumalanga","12-17 Years","47566"
"Pfizer","mpumalanga","Adults","472793"
"Pfizer","northern cape","12-17 Years","13440"
"Pfizer","northern cape","Adults","193787"
"Pfizer","north west","12-17 Years","52816"
"Pfizer","north west","Adults","538968"
"Pfizer","western cape","12-17 Years","52746"
"Pfizer","western cape","Adults","1861659"
