"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533886"
"kwazulu-natal","Private Health","1228636"
"western cape","Private Health","1909413"
"limpopo","Private Health","600332"
"northern cape","Public Health","601943"
"gauteng","Private Health","4537565"
"kwazulu-natal","Public Health","4597401"
"free state","Public Health","1841715"
"north west","Public Health","1774304"
"gauteng","Public Health","5785288"
"mpumalanga","Private Health","403585"
"mpumalanga","Public Health","1894312"
"northern cape","Private Health","156621"
"eastern cape","Private Health","688246"
"western cape","Public Health","3653977"
"limpopo","Public Health","3103963"
"free state","Private Health","396770"
"eastern cape","Public Health","3471187"
