"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537678"
"kwazulu-natal","Private Health","1237677"
"western cape","Private Health","1923529"
"limpopo","Private Health","610327"
"northern cape","Public Health","611203"
"gauteng","Private Health","4580704"
"kwazulu-natal","Public Health","4677536"
"mpumalanga","","17"
"free state","Public Health","1870897"
"north west","Public Health","1790913"
"gauteng","Public Health","5855078"
"mpumalanga","Private Health","406721"
"mpumalanga","Public Health","1939418"
"western cape","","1"
"northern cape","Private Health","158237"
"eastern cape","Private Health","694746"
"western cape","Public Health","3690648"
"limpopo","Public Health","3159059"
"free state","Private Health","401234"
"eastern cape","Public Health","3570123"
