"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","153","37","190"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","13917","4625","18542"
"National","eastern cape","Amathole DM","Public Health","Male","11815","3837","15652"
"National","eastern cape","A Nzo DM","Public Health","Female","30015","14579","44594"
"National","eastern cape","A Nzo DM","Public Health","Male","26115","11012","37127"
"National","eastern cape","Buffalo City MM","Private Health","Female","2885","1188","4073"
"National","eastern cape","Buffalo City MM","Private Health","Male","2348","906","3254"
"National","eastern cape","Buffalo City MM","Public Health","Female","16148","9095","25243"
"National","eastern cape","Buffalo City MM","Public Health","Male","12475","6236","18711"
"National","eastern cape","C Hani DM","Private Health","Female","226","102","328"
"National","eastern cape","C Hani DM","Private Health","Male","160","74","234"
"National","eastern cape","C Hani DM","Public Health","Female","13979","3615","17594"
"National","eastern cape","C Hani DM","Public Health","Male","11240","2628","13868"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","660","366","1026"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","504","217","721"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7864","2698","10562"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7037","2141","9178"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4129","2072","6201"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3721","1729","5450"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15669","6405","22074"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12195","4495","16690"
"National","eastern cape","O Tambo DM","Private Health","Female","314","122","436"
"National","eastern cape","O Tambo DM","Private Health","Male","253","113","366"
"National","eastern cape","O Tambo DM","Public Health","Female","43710","16766","60476"
"National","eastern cape","O Tambo DM","Public Health","Male","36528","12427","48955"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1589","1092","2681"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1379","825","2204"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9629","5337","14966"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8083","3950","12033"
"National","free state","Fezile Dabi DM","Private Health","Female","473","344","817"
"National","free state","Fezile Dabi DM","Private Health","Male","449","287","736"
"National","free state","Fezile Dabi DM","Public Health","Female","13283","4977","18260"
"National","free state","Fezile Dabi DM","Public Health","Male","10820","3606","14426"
"National","free state","Lejweleputswa DM","Private Health","Female","3818","1468","5286"
"National","free state","Lejweleputswa DM","Private Health","Male","3052","1105","4157"
"National","free state","Lejweleputswa DM","Public Health","Female","14146","5272","19418"
"National","free state","Lejweleputswa DM","Public Health","Male","12116","3707","15823"
"National","free state","Mangaung MM","Private Health","Female","2935","1734","4669"
"National","free state","Mangaung MM","Private Health","Male","2415","1317","3732"
"National","free state","Mangaung MM","Public Health","Female","23594","13907","37501"
"National","free state","Mangaung MM","Public Health","Male","21078","11213","32291"
"National","free state","T Mofutsanyana DM","Private Health","Female","1869","1138","3007"
"National","free state","T Mofutsanyana DM","Private Health","Male","1595","923","2518"
"National","free state","T Mofutsanyana DM","Public Health","Female","26978","15471","42449"
"National","free state","T Mofutsanyana DM","Public Health","Male","23157","11615","34772"
"National","free state","Xhariep DM","Public Health","Female","4288","1192","5480"
"National","free state","Xhariep DM","Public Health","Male","3513","798","4311"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10906","6647","17553"
"National","gauteng","Ekurhuleni MM","Private Health","Male","10047","5650","15697"
"National","gauteng","Ekurhuleni MM","Public Health","Female","41063","15352","56415"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32423","11156","43579"
"National","gauteng","Johannesburg MM","Private Health","Female","25534","13830","39364"
"National","gauteng","Johannesburg MM","Private Health","Male","23321","12000","35321"
"National","gauteng","Johannesburg MM","Public Health","Female","46626","16894","63520"
"National","gauteng","Johannesburg MM","Public Health","Male","37723","13159","50882"
"National","gauteng","Sedibeng DM","Private Health","Female","1613","1028","2641"
"National","gauteng","Sedibeng DM","Private Health","Male","1444","704","2148"
"National","gauteng","Sedibeng DM","Public Health","Female","13866","5938","19804"
"National","gauteng","Sedibeng DM","Public Health","Male","10907","4553","15460"
"National","gauteng","Tshwane MM","Private Health","Female","11608","6674","18282"
"National","gauteng","Tshwane MM","Private Health","Male","11043","6025","17068"
"National","gauteng","Tshwane MM","Public Health","Female","39935","18599","58534"
"National","gauteng","Tshwane MM","Public Health","Male","30833","13029","43862"
"National","gauteng","West Rand DM","Private Health","Female","2207","1518","3725"
"National","gauteng","West Rand DM","Private Health","Male","1831","1232","3063"
"National","gauteng","West Rand DM","Public Health","Female","17526","8798","26324"
"National","gauteng","West Rand DM","Public Health","Male","14348","6575","20923"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","215","72","287"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","184","57","241"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6594","2836","9430"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4238","1744","5982"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11920","7029","18949"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","11064","6193","17257"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14475","5518","19993"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11779","4420","16199"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","363","169","532"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","348","136","484"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","13042","7758","20800"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10204","5626","15830"
"National","kwazulu-natal","iLembe DM","Private Health","Female","551","335","886"
"National","kwazulu-natal","iLembe DM","Private Health","Male","486","282","768"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8391","4143","12534"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4954","2205","7159"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","333","136","469"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","310","96","406"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12463","5083","17546"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","8076","3099","11175"
"National","kwazulu-natal","Ugu DM","Private Health","Female","902","561","1463"
"National","kwazulu-natal","Ugu DM","Private Health","Male","717","427","1144"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12420","5117","17537"
"National","kwazulu-natal","Ugu DM","Public Health","Male","8003","2731","10734"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1629","848","2477"
