"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","577"
"eastern cape","Public Health","8228"
"free state","Private Health","550"
"free state","Public Health","3220"
"gauteng","Private Health","3306"
"gauteng","Public Health","7372"
"kwazulu-natal","Private Health","732"
"kwazulu-natal","Public Health","6616"
"limpopo","Private Health","585"
"limpopo","Public Health","6341"
"mpumalanga","Private Health","325"
"mpumalanga","Public Health","3678"
"northern cape","Private Health","109"
"northern cape","Public Health","1470"
"north west","Private Health","514"
"north west","Public Health","2401"
"western cape","Private Health","1260"
"western cape","Public Health","2422"
