"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","270"
"eastern cape","Public Health","2416"
"free state","Private Health","229"
"free state","Public Health","1327"
"gauteng","Private Health","1923"
"gauteng","Public Health","2430"
"kwazulu-natal","Private Health","358"
"kwazulu-natal","Public Health","2253"
"limpopo","Private Health","221"
"limpopo","Public Health","1583"
"mpumalanga","Private Health","276"
"mpumalanga","Public Health","1825"
"northern cape","Private Health","51"
"northern cape","Public Health","517"
"north west","Private Health","162"
"north west","Public Health","753"
"western cape","Private Health","693"
"western cape","Public Health","1036"
