"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1220"
"eastern cape","Public Health","2277"
"free state","Private Health","707"
"free state","Public Health","2095"
"gauteng","Private Health","6077"
"gauteng","Public Health","5828"
"kwazulu-natal","Private Health","1017"
"kwazulu-natal","Public Health","2903"
"limpopo","Private Health","918"
"limpopo","Public Health","3146"
"mpumalanga","Private Health","550"
"mpumalanga","Public Health","3006"
"northern cape","Private Health","197"
"northern cape","Public Health","233"
"north west","Private Health","597"
"north west","Public Health","2147"
"western cape","Private Health","2205"
"western cape","Public Health","2633"
