"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","886408"
"eastern cape","Pfizer","1298385"
"free state","Johnson & Johnson","472212"
"free state","Pfizer","651455"
"gauteng","Johnson & Johnson","1471715"
"gauteng","Pfizer","3804008"
"kwazulu-natal","Johnson & Johnson","1185683"
"kwazulu-natal","Pfizer","1898406"
"limpopo","Johnson & Johnson","1046617"
"limpopo","Pfizer","1009772"
"mpumalanga","Johnson & Johnson","780328"
"mpumalanga","Pfizer","547841"
"northern cape","Johnson & Johnson","208273"
"northern cape","Pfizer","216904"
"north west","Johnson & Johnson","693050"
"north west","Pfizer","602725"
"western cape","Johnson & Johnson","729227"
"western cape","Pfizer","2083210"
