"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","506187"
"kwazulu-natal","Private Health","1175135"
"western cape","Private Health","1819864"
"limpopo","Private Health","564219"
"northern cape","Public Health","537735"
"gauteng","Private Health","4315669"
"kwazulu-natal","Public Health","4157986"
"free state","Public Health","1693007"
"north west","Public Health","1648165"
"gauteng","Public Health","5432839"
"mpumalanga","Private Health","380614"
"mpumalanga","Public Health","1693083"
"northern cape","Private Health","148617"
"eastern cape","Private Health","655440"
"western cape","Public Health","3515126"
"limpopo","Public Health","2833956"
"free state","Private Health","371921"
"eastern cape","Public Health","3146864"
