"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538355"
"kwazulu-natal","Private Health","1238335"
"western cape","Private Health","1924357"
"limpopo","Private Health","611648"
"northern cape","Public Health","615596"
"gauteng","Private Health","4586923"
"kwazulu-natal","Public Health","4694900"
"mpumalanga","","20"
"free state","Public Health","1876930"
"north west","Public Health","1799737"
"gauteng","Public Health","5880825"
"mpumalanga","Private Health","406906"
"mpumalanga","Public Health","1954642"
"western cape","","2"
"northern cape","Private Health","158432"
"eastern cape","Private Health","695444"
"western cape","Public Health","3702704"
"limpopo","Public Health","3182003"
"limpopo","","2"
"free state","Private Health","402063"
"eastern cape","Public Health","3603832"
