"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","923549"
"eastern cape","Pfizer","1365644"
"free state","Johnson & Johnson","489325"
"free state","Pfizer","685996"
"gauteng","Johnson & Johnson","1570022"
"gauteng","Pfizer","3953004"
"kwazulu-natal","Johnson & Johnson","1258149"
"kwazulu-natal","Pfizer","2013424"
"limpopo","Johnson & Johnson","1090414"
"limpopo","Pfizer","1063117"
"mpumalanga","Johnson & Johnson","839173"
"mpumalanga","Pfizer","587091"
"northern cape","Johnson & Johnson","218005"
"northern cape","Pfizer","230135"
"north west","Johnson & Johnson","718639"
"north west","Pfizer","632275"
"western cape","Johnson & Johnson","757946"
"western cape","Pfizer","2137491"
