"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","151","36","187"
"National","eastern cape","Amathole DM","Private Health","Male","93","18","111"
"National","eastern cape","Amathole DM","Public Health","Female","14389","5415","19804"
"National","eastern cape","Amathole DM","Public Health","Male","12278","4465","16743"
"National","eastern cape","A Nzo DM","Public Health","Female","32150","16638","48788"
"National","eastern cape","A Nzo DM","Public Health","Male","28361","12993","41354"
"National","eastern cape","Buffalo City MM","Private Health","Female","2823","1156","3979"
"National","eastern cape","Buffalo City MM","Private Health","Male","2300","890","3190"
"National","eastern cape","Buffalo City MM","Public Health","Female","16380","9498","25878"
"National","eastern cape","Buffalo City MM","Public Health","Male","12911","6648","19559"
"National","eastern cape","C Hani DM","Private Health","Female","219","106","325"
"National","eastern cape","C Hani DM","Private Health","Male","155","76","231"
"National","eastern cape","C Hani DM","Public Health","Female","13800","3612","17412"
"National","eastern cape","C Hani DM","Public Health","Male","11107","2631","13738"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","653","362","1015"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","493","216","709"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7835","2716","10551"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7007","2194","9201"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4049","2037","6086"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3667","1705","5372"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15785","6479","22264"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12264","4592","16856"
"National","eastern cape","O Tambo DM","Private Health","Female","308","119","427"
"National","eastern cape","O Tambo DM","Private Health","Male","245","112","357"
"National","eastern cape","O Tambo DM","Public Health","Female","43763","16988","60751"
"National","eastern cape","O Tambo DM","Public Health","Male","36706","12686","49392"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1566","1076","2642"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1364","817","2181"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9601","5378","14979"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8064","4008","12072"
"National","free state","Fezile Dabi DM","Private Health","Female","471","340","811"
"National","free state","Fezile Dabi DM","Private Health","Male","447","283","730"
"National","free state","Fezile Dabi DM","Public Health","Female","13165","5017","18182"
"National","free state","Fezile Dabi DM","Public Health","Male","10755","3637","14392"
"National","free state","Lejweleputswa DM","Private Health","Female","3750","1445","5195"
"National","free state","Lejweleputswa DM","Private Health","Male","2998","1087","4085"
"National","free state","Lejweleputswa DM","Public Health","Female","14026","5284","19310"
"National","free state","Lejweleputswa DM","Public Health","Male","12040","3728","15768"
"National","free state","Mangaung MM","Private Health","Female","2953","1925","4878"
"National","free state","Mangaung MM","Private Health","Male","2426","1453","3879"
"National","free state","Mangaung MM","Public Health","Female","23410","13858","37268"
"National","free state","Mangaung MM","Public Health","Male","20892","11196","32088"
"National","free state","T Mofutsanyana DM","Private Health","Female","1837","1118","2955"
"National","free state","T Mofutsanyana DM","Private Health","Male","1577","910","2487"
"National","free state","T Mofutsanyana DM","Public Health","Female","26722","15430","42152"
"National","free state","T Mofutsanyana DM","Public Health","Male","22965","11638","34603"
"National","free state","Xhariep DM","Public Health","Female","4247","1194","5441"
"National","free state","Xhariep DM","Public Health","Male","3474","814","4288"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10727","6539","17266"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9906","5591","15497"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40637","15243","55880"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32197","11168","43365"
"National","gauteng","Johannesburg MM","Private Health","Female","25230","13637","38867"
"National","gauteng","Johannesburg MM","Private Health","Male","23045","11868","34913"
"National","gauteng","Johannesburg MM","Public Health","Female","46141","16757","62898"
"National","gauteng","Johannesburg MM","Public Health","Male","37392","13107","50499"
"National","gauteng","Sedibeng DM","Private Health","Female","1580","1007","2587"
"National","gauteng","Sedibeng DM","Private Health","Male","1412","683","2095"
"National","gauteng","Sedibeng DM","Public Health","Female","13705","5875","19580"
"National","gauteng","Sedibeng DM","Public Health","Male","10810","4523","15333"
"National","gauteng","Tshwane MM","Private Health","Female","11423","6580","18003"
"National","gauteng","Tshwane MM","Private Health","Male","10873","5962","16835"
"National","gauteng","Tshwane MM","Public Health","Female","39883","18609","58492"
"National","gauteng","Tshwane MM","Public Health","Male","30858","13097","43955"
"National","gauteng","West Rand DM","Private Health","Female","2166","1496","3662"
"National","gauteng","West Rand DM","Private Health","Male","1805","1223","3028"
"National","gauteng","West Rand DM","Public Health","Female","17419","8796","26215"
"National","gauteng","West Rand DM","Public Health","Male","14252","6581","20833"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","210","71","281"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","184","57","241"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6505","2818","9323"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4203","1739","5942"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11699","6872","18571"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","10927","6119","17046"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14422","5527","19949"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11766","4434","16200"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","352","163","515"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","342","135","477"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","12939","7745","20684"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10117","5608","15725"
"National","kwazulu-natal","iLembe DM","Private Health","Female","541","329","870"
"National","kwazulu-natal","iLembe DM","Private Health","Male","479","276","755"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8290","4120","12410"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4896","2206","7102"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","328","131","459"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","303","92","395"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12312","5027","17339"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","8000","3070","11070"
"National","kwazulu-natal","Ugu DM","Private Health","Female","893","552","1445"
"National","kwazulu-natal","Ugu DM","Private Health","Male","711","423","1134"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12323","5138","17461"
"National","kwazulu-natal","Ugu DM","Public Health","Male","7968","2771","10739"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1599","834","2433"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Male","1485","758","2243"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Female","12535","4944","17479"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Male","8750","3066","11816"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Female","21","5","26"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Male","24","6","30"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Female","20394","10293","30687"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Male","12922","5415","18337"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Female","57","18","75"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Male","33","13","46"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Female","14806","6309","21115"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Male","9122","3431","12553"
"National","kwazulu-natal","Uthukela DM","Private Health","Female","280","120","400"
"National","kwazulu-natal","Uthukela DM","Private Health","Male","181","75","256"
"National","kwazulu-natal","Uthukela DM","Public Health","Female","15176","6848","22024"
"National","kwazulu-natal","Uthukela DM","Public Health","Male","10250","4021","14271"
"National","kwazulu-natal","Zululand DM","Private Health","Female","59","7","66"
"National","kwazulu-natal","Zululand DM","Private Health","Male","45","4","49"
"National","kwazulu-natal","Zululand DM","Public Health","Female","24013","12802","36815"
"National","kwazulu-natal","Zululand DM","Public Health","Male","17272","8103","25375"
"National","limpopo","Capricorn DM","Private Health","Female","2579","1385","3964"
"National","limpopo","Capricorn DM","Private Health","Male","2111","1040","3151"
"National","limpopo","Capricorn DM","Public Health","Female","34433","14116","48549"
"National","limpopo","Capricorn DM","Public Health","Male","29636","10676","40312"
"National","limpopo","Mopani DM","Private Health","Female","955","470","1425"
"National","limpopo","Mopani DM","Private Health","Male","837","395","1232"
"National","limpopo","Mopani DM","Public Health","Female","36375","12590","48965"
"National","limpopo","Mopani DM","Public Health","Male","29924","9051","38975"
"National","limpopo","Sekhukhune DM","Private Health","Female","884","463","1347"
"National","limpopo","Sekhukhune DM","Private Health","Male","889","360","1249"
"National","limpopo","Sekhukhune DM","Public Health","Female","25458","9569","35027"
"National","limpopo","Sekhukhune DM","Public Health","Male","24938","8064","33002"
"National","limpopo","Vhembe DM","Private Health","Female","5841","2475","8316"
"National","limpopo","Vhembe DM","Private Health","Male","4020","1456","5476"
"National","limpopo","Vhembe DM","Public Health","Female","32309","10253","42562"
"National","limpopo","Vhembe DM","Public Health","Male","26898","7326","34224"
"National","limpopo","Waterberg DM","Private Health","Female","1235","510","1745"
"National","limpopo","Waterberg DM","Private Health","Male","1119","433","1552"
"National","limpopo","Waterberg DM","Public Health","Female","16539","6500","23039"
"National","limpopo","Waterberg DM","Public Health","Male","13767","4754","18521"
"National","mpumalanga","Ehlanzeni DM","Private Health","Female","2011","938","2949"
"National","mpumalanga","Ehlanzeni DM","Private Health","Male","1711","836","2547"
"National","mpumalanga","Ehlanzeni DM","Public Health","Female","45987","18970","64957"
"National","mpumalanga","Ehlanzeni DM","Public Health","Male","35052","12294","47346"
"National","mpumalanga","G Sibande DM","Private Health","Female","696","267","963"
"National","mpumalanga","G Sibande DM","Private Health","Male","590","246","836"
"National","mpumalanga","G Sibande DM","Public Health","Female","15416","5978","21394"
"National","mpumalanga","G Sibande DM","Public Health","Male","11874","4049","15923"
"National","mpumalanga","Nkangala DM","Private Health","Female","1049","439","1488"
"National","mpumalanga","Nkangala DM","Private Health","Male","1005","396","1401"
"National","mpumalanga","Nkangala DM","Public Health","Female","16025","6162","22187"
"National","mpumalanga","Nkangala DM","Public Health","Male","16690","5151","21841"
"National","northern cape","Frances Baard DM","Private Health","Female","1229","619","1848"
"National","northern cape","Frances Baard DM","Private Health","Male","1168","503","1671"
"National","northern cape","Frances Baard DM","Public Health","Female","6375","3104","9479"
"National","northern cape","Frances Baard DM","Public Health","Male","5151","2310","7461"
"National","northern cape","J T Gaetsewe DM","Private Health","Female","315","195","510"
"National","northern cape","J T Gaetsewe DM","Private Health","Male","272","143","415"
"National","northern cape","J T Gaetsewe DM","Public Health","Female","3224","1172","4396"
"National","northern cape","J T Gaetsewe DM","Public Health","Male","2471","877","3348"
"National","northern cape","Namakwa DM","Private Health","Female","167","98","265"
"National","northern cape","Namakwa DM","Private Health","Male","152","71","223"
"National","northern cape","Namakwa DM","Public Health","Female","1547","570","2117"
"National","northern cape","Namakwa DM","Public Health","Male","1226","432","1658"
"National","northern cape","Pixley ka Seme DM","Public Health","Female","3599","1593","5192"
"National","northern cape","Pixley ka Seme DM","Public Health","Male","2751","1143","3894"
"National","northern cape","ZF Mgcawu DM","Private Health","Female","315","109","424"
"National","northern cape","ZF Mgcawu DM","Private Health","Male","263","76","339"
"National","northern cape","ZF Mgcawu DM","Public Health","Female","3661","1537","5198"
"National","northern cape","ZF Mgcawu DM","Public Health","Male","2895","1079","3974"
"National","north west","Bojanala Platinum DM","Private Health","Female","2435","1169","3604"
"National","north west","Bojanala Platinum DM","Private Health","Male","2213","962","3175"
"National","north west","Bojanala Platinum DM","Public Health","Female","29818","12293","42111"
"National","north west","Bojanala Platinum DM","Public Health","Male","24549","8971","33520"
"National","north west","Dr K Kaunda DM","Private Health","Female","1348","659","2007"
"National","north west","Dr K Kaunda DM","Private Health","Male","1144","530","1674"
"National","north west","Dr K Kaunda DM","Public Health","Female","12593","4427","17020"
