"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","413"
"eastern cape","Public Health","5637"
"free state","Private Health","274"
"free state","Public Health","2830"
"gauteng","Private Health","2503"
"gauteng","Public Health","5263"
"kwazulu-natal","Private Health","521"
"kwazulu-natal","Public Health","5356"
"limpopo","Private Health","405"
"limpopo","Public Health","5648"
"mpumalanga","Private Health","186"
"mpumalanga","Public Health","3293"
"northern cape","Private Health","120"
"northern cape","Public Health","883"
"north west","Private Health","275"
"north west","Public Health","1750"
"western cape","Private Health","1064"
"western cape","Public Health","2086"
