"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","543"
"Janssen Vaccines & Prevention B.V","free state","Adults","230"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1042"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","565"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","679"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","737"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","97"
"Janssen Vaccines & Prevention B.V","north west","Adults","282"
"Janssen Vaccines & Prevention B.V","western cape","Adults","293"
"Pfizer","eastern cape","12-17 Years","855"
"Pfizer","eastern cape","Adults","734"
"Pfizer","free state","12-17 Years","456"
"Pfizer","free state","Adults","376"
"Pfizer","gauteng","12-17 Years","451"
"Pfizer","gauteng","Adults","1570"
"Pfizer","kwazulu-natal","12-17 Years","948"
"Pfizer","kwazulu-natal","Adults","1024"
"Pfizer","limpopo","12-17 Years","807"
"Pfizer","limpopo","Adults","527"
"Pfizer","mpumalanga","12-17 Years","350"
"Pfizer","mpumalanga","Adults","334"
"Pfizer","northern cape","12-17 Years","109"
"Pfizer","northern cape","Adults","102"
"Pfizer","north west","12-17 Years","288"
"Pfizer","north west","Adults","233"
"Pfizer","western cape","12-17 Years","117"
"Pfizer","western cape","Adults","513"
