"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","151","36","187"
"National","eastern cape","Amathole DM","Private Health","Male","92","18","110"
"National","eastern cape","Amathole DM","Public Health","Female","14475","5583","20058"
"National","eastern cape","Amathole DM","Public Health","Male","12438","4574","17012"
"National","eastern cape","A Nzo DM","Public Health","Female","32764","17597","50361"
"National","eastern cape","A Nzo DM","Public Health","Male","29104","13757","42861"
"National","eastern cape","Buffalo City MM","Private Health","Female","2784","1138","3922"
"National","eastern cape","Buffalo City MM","Private Health","Male","2274","878","3152"
"National","eastern cape","Buffalo City MM","Public Health","Female","16434","9522","25956"
"National","eastern cape","Buffalo City MM","Public Health","Male","13049","6722","19771"
"National","eastern cape","C Hani DM","Private Health","Female","219","106","325"
"National","eastern cape","C Hani DM","Private Health","Male","153","73","226"
"National","eastern cape","C Hani DM","Public Health","Female","13687","3593","17280"
"National","eastern cape","C Hani DM","Public Health","Male","11026","2622","13648"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","647","360","1007"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","486","215","701"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7785","2704","10489"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6946","2183","9129"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4005","2017","6022"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3634","1694","5328"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15739","6475","22214"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12256","4600","16856"
"National","eastern cape","O Tambo DM","Private Health","Female","303","117","420"
"National","eastern cape","O Tambo DM","Private Health","Male","241","111","352"
"National","eastern cape","O Tambo DM","Public Health","Female","43570","17065","60635"
"National","eastern cape","O Tambo DM","Public Health","Male","36721","12822","49543"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1547","1065","2612"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1343","806","2149"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9554","5352","14906"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8031","3995","12026"
"National","free state","Fezile Dabi DM","Private Health","Female","470","339","809"
"National","free state","Fezile Dabi DM","Private Health","Male","444","280","724"
"National","free state","Fezile Dabi DM","Public Health","Female","13075","5004","18079"
"National","free state","Fezile Dabi DM","Public Health","Male","10732","3633","14365"
"National","free state","Lejweleputswa DM","Private Health","Female","3702","1425","5127"
"National","free state","Lejweleputswa DM","Private Health","Male","2962","1077","4039"
"National","free state","Lejweleputswa DM","Public Health","Female","13934","5257","19191"
"National","free state","Lejweleputswa DM","Public Health","Male","11960","3717","15677"
"National","free state","Mangaung MM","Private Health","Female","2940","2001","4941"
"National","free state","Mangaung MM","Private Health","Male","2424","1531","3955"
"National","free state","Mangaung MM","Public Health","Female","23213","13790","37003"
"National","free state","Mangaung MM","Public Health","Male","20758","11150","31908"
"National","free state","T Mofutsanyana DM","Private Health","Female","1817","1110","2927"
"National","free state","T Mofutsanyana DM","Private Health","Male","1563","903","2466"
