"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538757"
"kwazulu-natal","Private Health","1238902"
"western cape","Private Health","1924976"
"limpopo","Private Health","612524"
"northern cape","Public Health","619285"
"gauteng","Private Health","4591407"
"kwazulu-natal","Public Health","4705957"
"mpumalanga","","23"
"free state","Public Health","1881022"
"north west","Public Health","1808044"
"gauteng","Public Health","5904805"
"mpumalanga","Private Health","407010"
"mpumalanga","Public Health","1962605"
"western cape","","3"
"northern cape","Private Health","158537"
"eastern cape","Private Health","695659"
"western cape","Public Health","3711231"
"limpopo","Public Health","3195601"
"limpopo","","2"
"free state","Private Health","402831"
"eastern cape","Public Health","3629609"
