"province","health_sector","total_number_vaccines_administered"
"gauteng","","2"
"north west","Private Health","537325"
"kwazulu-natal","Private Health","1237098"
"western cape","Private Health","1922742"
"limpopo","Private Health","609554"
"northern cape","Public Health","609873"
"gauteng","Private Health","4576405"
"kwazulu-natal","Public Health","4669441"
"free state","Public Health","1867458"
"north west","Public Health","1787650"
"gauteng","Public Health","5843789"
"mpumalanga","Private Health","406594"
"mpumalanga","Public Health","1934318"
"northern cape","Private Health","158128"
"eastern cape","Private Health","694372"
"western cape","Public Health","3686024"
"limpopo","Public Health","3149342"
"free state","Private Health","400878"
"eastern cape","Public Health","3556604"
