"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10702","4806","15508"
"National","eastern cape","Private Health","Male","8889","3643","12532"
"National","eastern cape","Public Health","Female","121184","28488","149672"
"National","eastern cape","Public Health","Male","97097","18786","115883"
"National","free state","Private Health","Female","8858","3883","12741"
"National","free state","Private Health","Male","7223","2963","10186"
"National","free state","Public Health","Female","77397","30740","108137"
"National","free state","Public Health","Male","65543","22334","87877"
"National","gauteng","Private Health","Female","54212","28182","82394"
"National","gauteng","Private Health","Male","49136","23773","72909"
"National","gauteng","Public Health","Female","146941","48416","195357"
"National","gauteng","Public Health","Male","115933","35657","151590"
"National","kwazulu-natal","Private Health","Female","17477","9224","26701"
"National","kwazulu-natal","Private Health","Male","15742","7774","23516"
"National","kwazulu-natal","Public Health","Female","121946","35212","157158"
"National","kwazulu-natal","Public Health","Male","82806","21405","104211"
"National","limpopo","Private Health","Female","10653","4424","15077"
"National","limpopo","Private Health","Male","8384","3166","11550"
"National","limpopo","Public Health","Female","114417","31733","146150"
"National","limpopo","Public Health","Male","96040","23955","119995"
"National","mpumalanga","Private Health","Female","4047","1585","5632"
"National","mpumalanga","Private Health","Male","3517","1358","4875"
"National","mpumalanga","Public Health","Female","64323","16095","80418"
"National","mpumalanga","Public Health","Male","54165","11662","65827"
"National","northern cape","Private Health","Female","2145","984","3129"
"National","northern cape","Private Health","Male","1932","719","2651"
"National","northern cape","Public Health","Female","11560","3363","14923"
"National","northern cape","Public Health","Male","9249","2512","11761"
"National","north west","Private Health","Female","5234","2291","7525"
"National","north west","Private Health","Male","4728","1925","6653"
"National","north west","Public Health","Female","72703","20806","93509"
"National","north west","Public Health","Male","60167","14924","75091"
"National","western cape","Private Health","Female","23662","11577","35239"
"National","western cape","Private Health","Male","21070","9834","30904"
"National","western cape","Public Health","Female","46650","14730","61380"
"National","western cape","Public Health","Male","38638","11978","50616"
