"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","510492"
"kwazulu-natal","Private Health","1181419"
"western cape","Private Health","1831434"
"limpopo","Private Health","568340"
"northern cape","Public Health","541690"
"gauteng","Private Health","4344589"
"kwazulu-natal","Public Health","4195071"
"free state","Public Health","1709768"
"north west","Public Health","1663236"
"gauteng","Public Health","5472045"
"mpumalanga","Private Health","382748"
"mpumalanga","Public Health","1711016"
"northern cape","Private Health","149615"
"eastern cape","Private Health","659403"
"western cape","Public Health","3530184"
"limpopo","Public Health","2859883"
"free state","Private Health","374921"
"eastern cape","Public Health","3179116"
