"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","889520"
"eastern cape","Pfizer","1301208"
"free state","Johnson & Johnson","473979"
"free state","Pfizer","653376"
"gauteng","Johnson & Johnson","1478364"
"gauteng","Pfizer","3813758"
"kwazulu-natal","Johnson & Johnson","1190129"
"kwazulu-natal","Pfizer","1904063"
"limpopo","Johnson & Johnson","1050024"
"limpopo","Pfizer","1012270"
"mpumalanga","Johnson & Johnson","784103"
"mpumalanga","Pfizer","549755"
"northern cape","Johnson & Johnson","208830"
"northern cape","Pfizer","217547"
"north west","Johnson & Johnson","695347"
"north west","Pfizer","604486"
"western cape","Johnson & Johnson","731220"
"western cape","Pfizer","2086385"
