"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","889520"
"Janssen Vaccines & Prevention B.V","free state","Adults","473979"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1478364"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1190130"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1050024"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","784103"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","208830"
"Janssen Vaccines & Prevention B.V","north west","Adults","695347"
"Janssen Vaccines & Prevention B.V","western cape","Adults","731220"
"Pfizer","eastern cape","12-17 Years","55723"
"Pfizer","eastern cape","Adults","1082544"
"Pfizer","free state","12-17 Years","59920"
"Pfizer","free state","Adults","568648"
"Pfizer","gauteng","12-17 Years","136028"
"Pfizer","gauteng","Adults","3279883"
"Pfizer","kwazulu-natal","12-17 Years","73615"
"Pfizer","kwazulu-natal","Adults","1568241"
"Pfizer","limpopo","12-17 Years","63278"
"Pfizer","limpopo","Adults","845700"
"Pfizer","mpumalanga","12-17 Years","30700"
"Pfizer","mpumalanga","Adults","449237"
"Pfizer","northern cape","12-17 Years","7578"
"Pfizer","northern cape","Adults","185446"
"Pfizer","north west","12-17 Years","39946"
"Pfizer","north west","Adults","519924"
"Pfizer","western cape","12-17 Years","48119"
"Pfizer","western cape","Adults","1823889"
