"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","186"
"Janssen Vaccines & Prevention B.V","free state","Adults","8"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","328"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","179"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","126"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","122"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","10"
"Janssen Vaccines & Prevention B.V","north west","Adults","221"
"Janssen Vaccines & Prevention B.V","western cape","Adults","47"
"Pfizer","eastern cape","12-17 Years","239"
"Pfizer","eastern cape","Adults","208"
"Pfizer","free state","12-17 Years","10"
"Pfizer","free state","Adults","15"
"Pfizer","gauteng","12-17 Years","160"
"Pfizer","gauteng","Adults","603"
"Pfizer","kwazulu-natal","12-17 Years","135"
"Pfizer","kwazulu-natal","Adults","274"
"Pfizer","limpopo","12-17 Years","98"
"Pfizer","limpopo","Adults","102"
"Pfizer","mpumalanga","12-17 Years","32"
"Pfizer","mpumalanga","Adults","49"
"Pfizer","northern cape","12-17 Years","1"
"Pfizer","northern cape","Adults","44"
"Pfizer","north west","12-17 Years","114"
"Pfizer","north west","Adults","165"
"Pfizer","western cape","12-17 Years","20"
"Pfizer","western cape","Adults","33"
