"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","193"
"eastern cape","Public Health","1630"
"free state","Private Health","52"
"free state","Public Health","94"
"gauteng","Private Health","1930"
"gauteng","Public Health","1386"
"kwazulu-natal","Private Health","532"
"kwazulu-natal","Public Health","1171"
"limpopo","Private Health","132"
"limpopo","Public Health","655"
"mpumalanga","Private Health","34"
"mpumalanga","Public Health","498"
"northern cape","Private Health","57"
"northern cape","Public Health","155"
"north west","Private Health","250"
"north west","Public Health","1378"
"western cape","Private Health","211"
"western cape","Public Health","111"
