"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","8"
"eastern cape","Public Health","6"
"gauteng","Private Health","55"
"gauteng","Public Health","7"
"kwazulu-natal","Public Health","14"
"limpopo","Private Health","1"
"limpopo","Public Health","1"
"mpumalanga","Public Health","10"
"northern cape","Private Health","1"
"north west","Private Health","1"
"north west","Public Health","23"
"western cape","Private Health","25"
"western cape","Public Health","15"
