"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","5","0","0","5"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","8","0","0","8"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","5","0","2","7"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","2","0","0","2"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","6","0","0","6"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","1","0","0","1"
"Janssen Vaccines & Prevention B.V","north west","Adults","4","0","1","5"
"Janssen Vaccines & Prevention B.V","western cape","Adults","0","0","1","1"
"Pfizer","eastern cape","Adults","2","4","3","9"
"Pfizer","gauteng","12-17 Years","1","4","0","5"
"Pfizer","gauteng","Adults","15","16","18","49"
"Pfizer","kwazulu-natal","12-17 Years","1","0","0","1"
"Pfizer","kwazulu-natal","Adults","1","1","4","6"
"Pfizer","mpumalanga","Adults","4","0","0","4"
"Pfizer","north west","12-17 Years","1","4","0","5"
"Pfizer","north west","Adults","4","0","10","14"
"Pfizer","western cape","12-17 Years","1","1","0","2"
"Pfizer","western cape","Adults","8","10","19","37"
