"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10171","5074","15245"
"National","eastern cape","Private Health","Male","8605","3937","12542"
"National","eastern cape","Public Health","Female","150400","61532","211932"
"National","eastern cape","Public Health","Male","124462","45074","169536"
"National","free state","Private Health","Female","9126","4636","13762"
"National","free state","Private Health","Male","7520","3586","11106"
"National","free state","Public Health","Female","83164","40964","124128"
"National","free state","Public Health","Male","71256","30862","102118"
"National","gauteng","Private Health","Female","52650","30093","82743"
"National","gauteng","Private Health","Male","48378","25890","74268"
"National","gauteng","Public Health","Female","160656","65926","226582"
"National","gauteng","Public Health","Male","127218","48612","175830"
"National","kwazulu-natal","Private Health","Female","16618","9481","26099"
"National","kwazulu-natal","Private Health","Male","15130","8171","23301"
"National","kwazulu-natal","Public Health","Female","157039","72267","229306"
"National","kwazulu-natal","Public Health","Male","107170","43939","151109"
"National","limpopo","Private Health","Female","11768","5344","17112"
"National","limpopo","Private Health","Male","9158","3705","12863"
"National","limpopo","Public Health","Female","144744","51444","196188"
"National","limpopo","Public Health","Male","125060","38539","163599"
"National","mpumalanga","Private Health","Female","3886","1701","5587"
"National","mpumalanga","Private Health","Male","3403","1513","4916"
"National","mpumalanga","Public Health","Female","77469","29051","106520"
"National","mpumalanga","Public Health","Male","63699","19982","83681"
"National","northern cape","Private Health","Female","2097","1045","3142"
"National","northern cape","Private Health","Male","1920","818","2738"
"National","northern cape","Public Health","Female","18189","7375","25564"
"National","northern cape","Public Health","Male","14282","5402","19684"
"National","north west","Private Health","Female","5099","2408","7507"
"National","north west","Private Health","Male","4635","2027","6662"
"National","north west","Public Health","Female","77508","27906","105414"
"National","north west","Public Health","Male","64342","20460","84802"
"National","western cape","Private Health","Female","22982","12606","35588"
"National","western cape","Private Health","Male","20826","10932","31758"
"National","western cape","Public Health","Female","48397","16834","65231"
"National","western cape","Public Health","Male","40530","13828","54358"
