"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920177"
"eastern cape","Pfizer","1350360"
"free state","Johnson & Johnson","488280"
"free state","Pfizer","679709"
"gauteng","Johnson & Johnson","1555264"
"gauteng","Pfizer","3930342"
"kwazulu-natal","Johnson & Johnson","1250463"
"kwazulu-natal","Pfizer","1997268"
"limpopo","Johnson & Johnson","1083336"
"limpopo","Pfizer","1051122"
"mpumalanga","Johnson & Johnson","833395"
"mpumalanga","Pfizer","579667"
"northern cape","Johnson & Johnson","216489"
"northern cape","Pfizer","228065"
"north west","Johnson & Johnson","715414"
"north west","Pfizer","626578"
"western cape","Johnson & Johnson","753770"
"western cape","Pfizer","2128335"
