"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536830"
"kwazulu-natal","Private Health","1236317"
"western cape","Private Health","1921764"
"limpopo","Private Health","608273"
"northern cape","Public Health","607610"
"gauteng","Private Health","4571184"
"kwazulu-natal","Public Health","4657765"
"free state","Public Health","1862469"
"north west","Public Health","1784195"
"gauteng","Public Health","5830627"
"mpumalanga","Private Health","406260"
"mpumalanga","Public Health","1926531"
"northern cape","Private Health","157940"
"eastern cape","Private Health","693962"
"western cape","Public Health","3679170"
"limpopo","Public Health","3140807"
"free state","Private Health","400176"
"eastern cape","Public Health","3540862"
