"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","free state","Adults","0"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","0"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","0"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","0"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","0"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","north west","Adults","0"
"Janssen Vaccines & Prevention B.V","western cape","Adults","0"
"Pfizer","eastern cape","12-17 Years","34"
"Pfizer","eastern cape","Adults","99"
"Pfizer","free state","12-17 Years","3"
"Pfizer","free state","Adults","17"
"Pfizer","gauteng","12-17 Years","36"
"Pfizer","gauteng","Adults","144"
"Pfizer","kwazulu-natal","12-17 Years","10"
"Pfizer","kwazulu-natal","Adults","75"
"Pfizer","limpopo","12-17 Years","23"
"Pfizer","limpopo","Adults","99"
"Pfizer","mpumalanga","12-17 Years","14"
"Pfizer","mpumalanga","Adults","30"
"Pfizer","northern cape","12-17 Years","6"
"Pfizer","northern cape","Adults","14"
"Pfizer","north west","12-17 Years","7"
"Pfizer","north west","Adults","39"
"Pfizer","western cape","12-17 Years","9"
"Pfizer","western cape","Adults","63"
