"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","5"
"eastern cape","Public Health","952"
"free state","Private Health","14"
"free state","Public Health","187"
"gauteng","Private Health","166"
"gauteng","Public Health","762"
"kwazulu-natal","Private Health","13"
"kwazulu-natal","Public Health","455"
"limpopo","Private Health","55"
"limpopo","Public Health","621"
"mpumalanga","Public Health","321"
"northern cape","Private Health","4"
"northern cape","Public Health","166"
"north west","Private Health","30"
"north west","Public Health","314"
"western cape","Private Health","16"
"western cape","Public Health","434"
