"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","537116"
"kwazulu-natal","Private Health","1236823"
"western cape","Private Health","1922279"
"limpopo","Private Health","609047"
"northern cape","Public Health","608997"
"gauteng","Private Health","4574302"
"kwazulu-natal","Public Health","4664590"
"free state","Public Health","1865668"
"north west","Public Health","1786040"
"gauteng","Public Health","5838419"
"mpumalanga","Private Health","406393"
"mpumalanga","Public Health","1931120"
"northern cape","Private Health","158074"
"eastern cape","Private Health","694199"
"western cape","Public Health","3683614"
"limpopo","Public Health","3145934"
"free state","Private Health","400445"
"eastern cape","Public Health","3549422"
