"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10101","5034","15135"
"National","eastern cape","Private Health","Male","8562","3917","12479"
"National","eastern cape","Public Health","Female","150883","62285","213168"
"National","eastern cape","Public Health","Male","124992","45749","170741"
"National","free state","Private Health","Female","9077","4615","13692"
"National","free state","Private Health","Male","7505","3576","11081"
"National","free state","Public Health","Female","82981","40978","123959"
"National","free state","Public Health","Male","71137","30915","102052"
"National","gauteng","Private Health","Female","52372","29946","82318"
"National","gauteng","Private Health","Male","48138","25783","73921"
"National","gauteng","Public Health","Female","160240","65885","226125"
"National","gauteng","Public Health","Male","126960","48610","175570"
"National","kwazulu-natal","Private Health","Female","16529","9426","25955"
"National","kwazulu-natal","Private Health","Male","15067","8140","23207"
"National","kwazulu-natal","Public Health","Female","156510","72257","228767"
"National","kwazulu-natal","Public Health","Male","106828","44024","150852"
"National","limpopo","Private Health","Female","11753","5357","17110"
"National","limpopo","Private Health","Male","9123","3727","12850"
"National","limpopo","Public Health","Female","144752","51821","196573"
"National","limpopo","Public Health","Male","125003","38829","163832"
"National","mpumalanga","Private Health","Female","3866","1695","5561"
"National","mpumalanga","Private Health","Male","3387","1507","4894"
"National","mpumalanga","Public Health","Female","77487","29640","107127"
"National","mpumalanga","Public Health","Male","63757","20382","84139"
"National","northern cape","Private Health","Female","2083","1045","3128"
"National","northern cape","Private Health","Male","1912","815","2727"
"National","northern cape","Public Health","Female","18263","7542","25805"
"National","northern cape","Public Health","Male","14348","5542","19890"
"National","north west","Private Health","Female","5069","2395","7464"
"National","north west","Private Health","Male","4616","2021","6637"
"National","north west","Public Health","Female","77242","27827","105069"
"National","north west","Public Health","Male","64162","20431","84593"
"National","western cape","Private Health","Female","22831","12535","35366"
"National","western cape","Private Health","Male","20720","10876","31596"
"National","western cape","Public Health","Female","48366","16937","65303"
"National","western cape","Public Health","Male","40503","13919","54422"
