"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","919"
"eastern cape","Public Health","6141"
"free state","Private Health","617"
"free state","Public Health","2924"
"gauteng","Private Health","5639"
"gauteng","Public Health","7473"
"kwazulu-natal","Private Health","1398"
"kwazulu-natal","Public Health","5554"
"limpopo","Private Health","656"
"limpopo","Public Health","5227"
"mpumalanga","Private Health","491"
"mpumalanga","Public Health","3624"
"northern cape","Private Health","211"
"northern cape","Public Health","1099"
"north west","Private Health","1068"
"north west","Public Health","2436"
"western cape","Private Health","2098"
"western cape","Public Health","3136"
