"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","294"
"eastern cape","Public Health","4434"
"free state","Private Health","181"
"free state","Public Health","1841"
"gauteng","Private Health","2197"
"gauteng","Public Health","3942"
"kwazulu-natal","Private Health","550"
"kwazulu-natal","Public Health","4350"
"limpopo","Private Health","320"
"limpopo","Public Health","4410"
"mpumalanga","Private Health","325"
"mpumalanga","Public Health","2565"
"northern cape","Private Health","89"
"northern cape","Public Health","503"
"north west","Private Health","250"
"north west","Public Health","1080"
"western cape","Private Health","791"
"western cape","Public Health","1749"
