"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538093"
"kwazulu-natal","Private Health","1238021"
"western cape","Private Health","1923958"
"limpopo","Private Health","611125"
"northern cape","Public Health","613629"
"gauteng","Private Health","4584035"
"kwazulu-natal","Public Health","4687708"
"mpumalanga","","19"
"free state","Public Health","1874400"
"north west","Public Health","1796103"
"gauteng","Public Health","5869907"
"mpumalanga","Private Health","406872"
"mpumalanga","Public Health","1948422"
"western cape","","2"
"northern cape","Private Health","158362"
"eastern cape","Private Health","695232"
"western cape","Public Health","3696626"
"limpopo","Public Health","3171833"
"free state","Private Health","401942"
"eastern cape","Public Health","3587155"
