"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","37","189"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","14218","5159","19377"
"National","eastern cape","Amathole DM","Public Health","Male","12104","4284","16388"
"National","eastern cape","A Nzo DM","Public Health","Female","31259","15664","46923"
"National","eastern cape","A Nzo DM","Public Health","Male","27294","11939","39233"
"National","eastern cape","Buffalo City MM","Private Health","Female","2849","1173","4022"
"National","eastern cape","Buffalo City MM","Private Health","Male","2323","897","3220"
"National","eastern cape","Buffalo City MM","Public Health","Female","16217","9308","25525"
"National","eastern cape","Buffalo City MM","Public Health","Male","12643","6430","19073"
"National","eastern cape","C Hani DM","Private Health","Female","221","106","327"
"National","eastern cape","C Hani DM","Private Health","Male","155","77","232"
"National","eastern cape","C Hani DM","Public Health","Female","13879","3623","17502"
"National","eastern cape","C Hani DM","Public Health","Male","11158","2637","13795"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","657","365","1022"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","499","218","717"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7860","2726","10586"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7040","2202","9242"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4078","2048","6126"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3687","1711","5398"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15560","6359","21919"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12134","4476","16610"
"National","eastern cape","O Tambo DM","Private Health","Female","312","121","433"
"National","eastern cape","O Tambo DM","Private Health","Male","248","112","360"
"National","eastern cape","O Tambo DM","Public Health","Female","43681","16877","60558"
"National","eastern cape","O Tambo DM","Public Health","Male","36552","12589","49141"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1575","1082","2657"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1371","821","2192"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9603","5367","14970"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8063","3988","12051"
"National","free state","Fezile Dabi DM","Private Health","Female","471","342","813"
"National","free state","Fezile Dabi DM","Private Health","Male","448","285","733"
"National","free state","Fezile Dabi DM","Public Health","Female","13218","5028","18246"
"National","free state","Fezile Dabi DM","Public Health","Male","10770","3643","14413"
"National","free state","Lejweleputswa DM","Private Health","Female","3784","1452","5236"
"National","free state","Lejweleputswa DM","Private Health","Male","3019","1092","4111"
"National","free state","Lejweleputswa DM","Public Health","Female","14084","5300","19384"
"National","free state","Lejweleputswa DM","Public Health","Male","12076","3737","15813"
"National","free state","Mangaung MM","Private Health","Female","2969","1907","4876"
"National","free state","Mangaung MM","Private Health","Male","2441","1446","3887"
"National","free state","Mangaung MM","Public Health","Female","23485","13882","37367"
"National","free state","Mangaung MM","Public Health","Male","20966","11186","32152"
"National","free state","T Mofutsanyana DM","Private Health","Female","1849","1127","2976"
"National","free state","T Mofutsanyana DM","Private Health","Male","1589","918","2507"
"National","free state","T Mofutsanyana DM","Public Health","Female","26834","15421","42255"
"National","free state","T Mofutsanyana DM","Public Health","Male","23055","11604","34659"
"National","free state","Xhariep DM","Public Health","Female","4272","1196","5468"
"National","free state","Xhariep DM","Public Health","Male","3495","817","4312"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10794","6576","17370"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9969","5622","15591"
