"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533001"
"kwazulu-natal","Private Health","1226394"
"western cape","Private Health","1905106"
"limpopo","Private Health","598124"
"northern cape","Public Health","593966"
"gauteng","Private Health","4526796"
"kwazulu-natal","Public Health","4569180"
"free state","Public Health","1832408"
"north west","Public Health","1769054"
"gauteng","Public Health","5770095"
"mpumalanga","Private Health","401132"
"mpumalanga","Public Health","1877195"
"northern cape","Private Health","156369"
"eastern cape","Private Health","686531"
"western cape","Public Health","3645669"
"limpopo","Public Health","3091570"
"free state","Private Health","395921"
"eastern cape","Public Health","3450174"
