"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","36","188"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","14303","5242","19545"
"National","eastern cape","Amathole DM","Public Health","Male","12201","4352","16553"
"National","eastern cape","A Nzo DM","Public Health","Female","31724","16095","47819"
"National","eastern cape","A Nzo DM","Public Health","Male","27831","12376","40207"
"National","eastern cape","Buffalo City MM","Private Health","Female","2841","1169","4010"
"National","eastern cape","Buffalo City MM","Private Health","Male","2315","894","3209"
"National","eastern cape","Buffalo City MM","Public Health","Female","16324","9403","25727"
"National","eastern cape","Buffalo City MM","Public Health","Male","12815","6550","19365"
"National","eastern cape","C Hani DM","Private Health","Female","221","106","327"
"National","eastern cape","C Hani DM","Private Health","Male","155","76","231"
"National","eastern cape","C Hani DM","Public Health","Female","13856","3621","17477"
"National","eastern cape","C Hani DM","Public Health","Male","11141","2637","13778"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","654","363","1017"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","496","217","713"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7860","2722","10582"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7032","2200","9232"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4069","2044","6113"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3682","1711","5393"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15642","6438","22080"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12193","4555","16748"
"National","eastern cape","O Tambo DM","Private Health","Female","309","119","428"
"National","eastern cape","O Tambo DM","Private Health","Male","246","112","358"
"National","eastern cape","O Tambo DM","Public Health","Female","43766","16941","60707"
"National","eastern cape","O Tambo DM","Public Health","Male","36693","12642","49335"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1574","1080","2654"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1371","821","2192"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9617","5384","15001"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8071","4003","12074"
"National","free state","Fezile Dabi DM","Private Health","Female","471","342","813"
"National","free state","Fezile Dabi DM","Private Health","Male","448","285","733"
"National","free state","Fezile Dabi DM","Public Health","Female","13185","5021","18206"
"National","free state","Fezile Dabi DM","Public Health","Male","10761","3640","14401"
"National","free state","Lejweleputswa DM","Private Health","Female","3772","1449","5221"
"National","free state","Lejweleputswa DM","Private Health","Male","3016","1090","4106"
"National","free state","Lejweleputswa DM","Public Health","Female","14065","5294","19359"
"National","free state","Lejweleputswa DM","Public Health","Male","12067","3733","15800"
"National","free state","Mangaung MM","Private Health","Female","2965","1923","4888"
"National","free state","Mangaung MM","Private Health","Male","2438","1453","3891"
"National","free state","Mangaung MM","Public Health","Female","23471","13886","37357"
"National","free state","Mangaung MM","Public Health","Male","20956","11216","32172"
"National","free state","T Mofutsanyana DM","Private Health","Female","1844","1123","2967"
"National","free state","T Mofutsanyana DM","Private Health","Male","1583","918","2501"
"National","free state","T Mofutsanyana DM","Public Health","Female","26813","15476","42289"
"National","free state","T Mofutsanyana DM","Public Health","Male","23046","11653","34699"
