"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538204"
"kwazulu-natal","Private Health","1238152"
"western cape","Private Health","1924104"
"limpopo","Private Health","611298"
"northern cape","Public Health","614512"
"gauteng","Private Health","4585243"
"kwazulu-natal","Public Health","4690750"
"mpumalanga","","20"
"free state","Public Health","1875659"
"north west","Public Health","1797695"
"gauteng","Public Health","5874739"
"mpumalanga","Private Health","406893"
"mpumalanga","Public Health","1951162"
"western cape","","2"
"northern cape","Private Health","158397"
"eastern cape","Private Health","695305"
"western cape","Public Health","3699090"
"limpopo","Public Health","3175873"
"free state","Private Health","401999"
"eastern cape","Public Health","3594034"
