"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537850"
"kwazulu-natal","Private Health","1237860"
"western cape","Private Health","1923800"
"limpopo","Private Health","610815"
"northern cape","Public Health","612339"
"gauteng","Private Health","4582206"
"kwazulu-natal","Public Health","4682122"
"mpumalanga","","18"
"free state","Public Health","1872368"
"north west","Public Health","1793230"
"gauteng","Public Health","5861681"
"mpumalanga","Private Health","406833"
"mpumalanga","Public Health","1943804"
"western cape","","1"
"northern cape","Private Health","158318"
"eastern cape","Private Health","695123"
"western cape","Public Health","3693558"
"limpopo","Public Health","3165709"
"free state","Private Health","401610"
"eastern cape","Public Health","3579573"
