"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922281"
"eastern cape","Pfizer","1360385"
"free state","Johnson & Johnson","489003"
"free state","Pfizer","683945"
"gauteng","Johnson & Johnson","1564467"
"gauteng","Pfizer","3945196"
"kwazulu-natal","Johnson & Johnson","1255464"
"kwazulu-natal","Pfizer","2008066"
"limpopo","Johnson & Johnson","1088140"
"limpopo","Pfizer","1058826"
"mpumalanga","Johnson & Johnson","837260"
"mpumalanga","Pfizer","584400"
"northern cape","Johnson & Johnson","217437"
"northern cape","Pfizer","229430"
"north west","Johnson & Johnson","717400"
"north west","Pfizer","630169"
"western cape","Johnson & Johnson","756370"
"western cape","Pfizer","2134297"
