"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","free state","Adults","0"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","0"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","0"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","0"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","0"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","north west","Adults","0"
"Janssen Vaccines & Prevention B.V","western cape","Adults","0"
"Pfizer","eastern cape","12-17 Years","4"
"Pfizer","eastern cape","Adults","31"
"Pfizer","free state","12-17 Years","8"
"Pfizer","free state","Adults","14"
"Pfizer","gauteng","12-17 Years","25"
"Pfizer","gauteng","Adults","156"
"Pfizer","kwazulu-natal","12-17 Years","6"
"Pfizer","kwazulu-natal","Adults","42"
"Pfizer","limpopo","12-17 Years","12"
"Pfizer","limpopo","Adults","14"
"Pfizer","mpumalanga","12-17 Years","4"
"Pfizer","mpumalanga","Adults","15"
"Pfizer","northern cape","12-17 Years","1"
"Pfizer","northern cape","Adults","5"
"Pfizer","north west","12-17 Years","9"
"Pfizer","north west","Adults","47"
"Pfizer","western cape","12-17 Years","3"
"Pfizer","western cape","Adults","67"
